,time,open,highest,lowest,close,volume,amount
0,1518936060000,10593.33,10594.84,10589.02,10594.41,1452.0,13.711993132303
1,1518936120000,10599.06,10604.58,10594.27,10594.27,8.0,0.07547350528800001
2,1518936180000,10587.02,10600.18,10584.3,10591.52,60.0,0.5664807232169999
3,1518936240000,10594.47,10602.8,10583.21,10583.21,1780.0,16.789462771142002
4,1518936300000,10582.93,10582.93,10544.91,10565.25,370.0,3.5034450330010003
5,1518936360000,10563.49,10573.51,10557.24,10561.9,334.0,3.160227356748
6,1518936420000,10540.75,10540.75,10520.68,10531.49,28.0,0.265740318836
7,1518936480000,10519.68,10531.05,10507.96,10516.03,2180.0,20.721673775651
8,1518936540000,10517.0,10517.77,10507.84,10513.39,494.0,4.697704075099
9,1518936600000,10509.0,10509.0,10440.09,10440.09,538.0,5.133353147534001
10,1518936660000,10440.01,10493.4,10428.68,10481.12,996.0,9.533929063288
11,1518936780000,10508.73,10508.73,10508.73,10508.73,2.0,0.019031795469
12,1518936720000,10508.73,10512.68,10469.25,10475.72,518.0,4.943705225401
13,1518936840000,10477.52,10477.52,10395.52,10395.52,114.0,1.091821597909
14,1518936900000,10394.35,10419.67,10380.0,10419.5,398.0,3.8274589813419997
15,1518936960000,10421.24,10464.47,10413.7,10434.45,1594.0,15.279515866738
16,1518937020000,10447.81,10452.14,10426.09,10426.71,2262.0,21.693800034278997
17,1518937080000,10426.96,10458.9,10426.96,10449.08,200.0,1.914772210291
18,1518937140000,10435.35,10435.35,10420.58,10435.35,76.0,0.728320897479
19,1518937200000,10435.35,10435.35,10416.55,10418.15,182.0,1.7451583364860002
20,1518937260000,10435.05,10487.38,10435.05,10470.17,4108.0,39.296423765502
21,1518937320000,10470.67,10516.38,10441.7,10475.45,3784.0,36.13824876612
22,1518937380000,10473.69,10505.32,10467.08,10500.12,2120.0,20.20563715813
23,1518937440000,10500.12,10507.41,10485.6,10485.6,3740.0,35.645666346472
24,1518937560000,10506.31,10506.31,10506.31,10506.31,10.0,0.095180896052
25,1518937500000,10506.31,10506.31,10480.0,10492.78,462.0,4.404295853064
26,1518937620000,10480.35,10480.35,10477.91,10477.91,256.0,2.442708541719
27,1518937680000,10477.89,10480.0,10475.21,10475.21,332.0,3.168020004039
28,1518937740000,10469.3,10469.3,10433.4,10433.4,2262.0,21.641969390251003
29,1518937800000,10425.69,10457.11,10425.69,10428.0,550.0,5.266640734527
30,1518937860000,10459.0,10485.63,10459.0,10480.12,1042.0,9.940167664098999
31,1518937920000,10477.21,10483.35,10446.5,10483.35,1250.0,11.938461243182001
32,1518937980000,10478.33,10505.04,10469.9,10479.67,3436.0,32.799903936507
33,1518938040000,10479.62,10514.0,10479.62,10512.47,6960.0,66.32836602163201
34,1518938100000,10512.47,10534.0,10495.5,10513.5,736.0,6.9978322575259995
35,1518938160000,10520.21,10532.39,10515.14,10515.14,2740.0,26.046129583499
36,1518938220000,10512.8,10523.31,10506.83,10514.85,718.0,6.827047423563
37,1518938280000,10517.15,10526.98,10487.7,10487.7,436.0,4.15109516908
38,1518938340000,10489.9,10529.54,10484.5,10484.5,2444.0,23.230259324078002
39,1518938400000,10495.99,10496.29,10495.99,10495.99,280.0,2.667633185119
40,1518938460000,10475.5,10493.9,10474.36,10493.9,292.0,2.787053172268
41,1518938520000,10484.85,10495.99,10484.16,10492.25,276.0,2.630514121627
42,1518938580000,10492.75,10507.21,10492.75,10507.21,2612.0,24.878667504773002
43,1518938640000,10515.73,10517.22,10502.51,10503.01,60.0,0.570789211241
44,1518938700000,10498.59,10508.13,10494.74,10506.83,274.0,2.609776750937
45,1518938760000,10485.35,10504.61,10485.35,10504.61,10.0,0.0952371097
46,1518938820000,10498.58,10498.58,10474.31,10481.1,2150.0,20.490892491025
47,1518938880000,10484.11,10495.52,10484.11,10495.52,80.0,0.762417754858
48,1518938940000,10495.81,10504.72,10468.3,10488.93,244.0,2.327399841794
49,1518939000000,10467.31,10467.31,10436.36,10442.33,1030.0,9.852367693098
50,1518939060000,10455.1,10476.06,10455.1,10473.26,36.0,0.34372995646
51,1518939120000,10439.39,10456.63,10434.24,10443.04,108.0,1.033913506432
52,1518939180000,10442.71,10484.84,10442.71,10478.05,338.0,3.228689003811
53,1518939240000,10477.3,10496.53,10456.92,10471.39,2986.0,28.551326137223
54,1518939300000,10470.77,10494.78,10470.77,10494.78,66.0,0.6291237124669999
55,1518939360000,10501.25,10522.94,10497.46,10499.54,318.0,3.026420852877
56,1518939420000,10523.0,10527.51,10509.6,10514.67,446.0,4.240570633363999
57,1518939480000,10517.0,10535.75,10517.0,10535.7,212.0,2.013480572556
58,1518939540000,10536.61,10536.61,10516.8,10516.8,54.0,0.513086087477
59,1518939600000,10527.89,10532.84,10525.34,10527.31,76.0,0.7217845441670001
60,1518939660000,10513.36,10551.16,10495.32,10547.61,544.0,5.169424088486
61,1518939720000,10519.34,10536.37,10501.27,10536.37,1610.0,15.303655127803
62,1518939840000,10535.31,10535.31,10535.31,10535.31,0.0,0.0
63,1518939780000,10545.29,10552.65,10544.74,10552.65,52.0,0.493086404983
64,1518939900000,10545.0,10550.85,10545.0,10549.62,970.0,9.194749744769
65,1518939960000,10551.35,10582.23,10551.35,10577.11,168.0,1.588734456701
66,1518940020000,10581.48,10584.89,10577.85,10583.59,120.0,1.13398945865
67,1518940080000,10574.68,10586.45,10572.93,10579.52,146.0,1.379608219003
68,1518940140000,10579.52,10600.0,10579.24,10600.0,2466.0,23.309011320465004
69,1518940200000,10600.0,10601.36,10567.38,10569.67,560.0,5.287221068542
70,1518940260000,10557.72,10592.4,10557.72,10588.39,162.0,1.531085052921
71,1518940320000,10595.93,10597.76,10557.53,10595.29,2250.0,21.305182146329
72,1518940380000,10595.0,10598.14,10539.03,10566.66,2182.0,20.656838705073
73,1518940440000,10567.44,10567.44,10549.31,10549.31,294.0,2.784162767441
74,1518940500000,10556.88,10571.53,10556.88,10569.0,1542.0,14.590070429696
75,1518940560000,10563.24,10563.24,10563.24,10563.24,14.0,0.132535093399
76,1518940620000,10567.18,10567.83,10554.76,10554.76,70.0,0.6624918609839999
77,1518940680000,10548.3,10557.74,10538.38,10542.28,606.0,5.747558445411
78,1518940740000,10555.43,10557.15,10546.63,10555.08,54.0,0.511674438967
79,1518940800000,10550.59,10550.59,10536.12,10545.0,852.0,8.079868744106
80,1518940860000,10545.0,10566.07,10533.76,10542.65,2642.0,25.054388520331003
81,1518940920000,10540.25,10556.94,10540.02,10546.83,1824.0,17.304070446079997
82,1518940980000,10546.83,10546.83,10544.35,10546.83,1364.0,12.932870390518
83,1518941040000,10542.62,10546.83,10542.0,10542.13,864.0,8.195578347328
84,1518941100000,10541.5,10542.13,10530.49,10530.49,210.0,1.992482350225
85,1518941160000,10530.49,10531.09,10478.6,10489.19,2034.0,19.393151751051
86,1518941220000,10489.19,10503.31,10453.48,10465.0,3206.0,30.570481361189
87,1518941280000,10467.45,10489.82,10467.45,10477.2,1522.0,14.51145672924
88,1518941340000,10479.59,10495.22,10472.47,10480.0,342.0,3.2620337030699997
89,1518941400000,10480.0,10480.34,10470.0,10470.0,1288.0,12.295977852867999
90,1518941460000,10470.0,10479.37,10470.0,10479.37,1042.0,9.944229477973
91,1518941520000,10460.0,10466.58,10450.3,10450.3,846.0,8.089606341982
92,1518941580000,10450.0,10505.68,10450.0,10454.19,4042.0,38.623343347247
93,1518941640000,10454.19,10511.32,10454.19,10473.21,9472.0,90.463587413672
94,1518941700000,10473.21,10494.36,10459.0,10490.13,3578.0,34.181814791041
95,1518941760000,10488.2,10489.75,10450.0,10454.6,2176.0,20.802302813639
96,1518941820000,10464.97,10471.03,10447.19,10455.0,1374.0,13.14352484628
97,1518941880000,10453.44,10503.49,10453.44,10498.14,3298.0,31.513200187368998
98,1518941940000,10494.34,10513.57,10463.35,10486.53,5082.0,48.494669756159
99,1518942000000,10486.53,10522.9,10476.12,10476.12,4724.0,45.061662954884994
100,1518942060000,10483.81,10536.11,10470.0,10483.32,3740.0,35.637287782947
101,1518942120000,10491.34,10506.33,10489.12,10491.01,246.0,2.34424286356
102,1518942180000,10494.06,10501.29,10489.03,10491.22,4024.0,38.333505018886
103,1518942240000,10494.9,10526.99,10494.9,10526.99,790.0,7.5183609957840005
104,1518942300000,10503.43,10503.43,10464.77,10484.28,184.0,1.756076462085
105,1518942360000,10484.32,10499.57,10465.29,10475.69,3242.0,30.887786227406
